step,phase,t,speed_cmd,heading_cmd,x,y,heading,speed
30,speed_zero_out_0.01_t0,3.0,0.0,0.0,-0.004995445720851421,0.2481755018234253,0.0,0.0
31,speed_zero_out_0.01_t0,3.1,0.0,0.0,-0.005372417625039816,0.24281637370586395,0.0,0.0
32,speed_zero_out_0.01_t0,3.2,0.0,0.0,-0.005120581015944481,0.24689224362373352,0.0,0.0
33,speed_zero_out_0.01_t0,3.3000000000000003,0.0,0.0,-0.004819536115974188,0.2484157681465149,0.0,0.0
34,speed_zero_out_0.01_t0,3.4000000000000004,0.0,0.0,-0.005107134114950895,0.24445566534996033,0.0,0.0
35,speed_zero_out_0.01_t0,3.5,0.0,0.0,-0.004909305367618799,0.24731771647930145,0.0,0.0
36,speed_zero_out_0.01_t0,3.6,0.0,0.0,-0.004641149193048477,0.24847260117530823,0.0,0.0
37,speed_zero_out_0.01_t0,3.7,0.0,0.0,-0.0048672836273908615,0.2450607419013977,0.0,0.0
38,speed_zero_out_0.01_t0,3.8000000000000003,0.0,0.0,-0.004728731233626604,0.2473200410604477,0.0,0.0
39,speed_zero_out_0.01_t0,3.9000000000000004,0.0,0.0,-0.0044595543295145035,0.24995093047618866,0.0,0.0
40,speed_zero_out_0.01_t0,4.0,0.0,0.0,-0.0046735345385968685,0.2456444799900055,0.0,0.0
41,speed_zero_out_0.01_t0,4.1000000000000005,0.0,0.0,-0.0045839459635317326,0.24730463325977325,0.0,0.0
42,heading_step_return_0.01_t0,4.2,0.0,3.141592653589793,-0.004340705461800098,0.24995504319667816,-3.1415927410125732,0.0
43,heading_step_return_0.01_t0,4.3,0.0,3.141592653589793,-0.005994573701173067,0.24142196774482727,-3.1415927410125732,0.0
44,heading_step_return_0.01_t0,4.4,0.0,3.141592653589793,-0.005325389560312033,0.23622941970825195,-3.1415927410125732,0.0
45,heading_step_return_0.01_t0,4.5,0.0,3.141592653589793,-0.00640973262488842,0.23164257407188416,-3.1415927410125732,0.0
46,heading_step_return_0.01_t0,4.6000000000000005,0.0,3.141592653589793,-0.005652152467519045,0.2355659455060959,-3.1415927410125732,0.0
47,heading_step_return_0.01_t0,4.7,0.0,3.141592653589793,-0.0048625897616147995,0.24186882376670837,-3.1415927410125732,0.0
48,heading_step_return_0.01_t0,4.800000000000001,0.0,3.141592653589793,-0.005500097759068012,0.23789282143115997,-3.1415927410125732,0.0
49,heading_step_return_0.01_t0,4.9,0.0,3.141592653589793,-0.004897587466984987,0.23960210382938385,-3.1415927410125732,0.0
50,heading_step_return_0.01_t0,5.0,0.0,3.141592653589793,-0.004624892026185989,0.24321630597114563,-3.1415927410125732,0.0
